,title,price_idr,city,district,bedrooms,bathrooms,garage,land_size_m2,building_size_m2,scraped_at
8562,Rumah 2 Lantai Strategis Gunung Sahari Jakarta Barat,2900000000.0,Jakarta Pusat,Gunung Sahari,5.0,5.0,2.0,166.0,300.0,2026-04-28T10:20:08.253497+00:00
5326,Rumah Cantik 8X17 di Garden House Pik,6400000000.0,Jakarta Utara,Pantai Indah Kapuk,4.0,3.0,2.0,136.0,160.0,2026-04-28T07:03:23.557191+00:00
9647,Di Jual Rumah Lokasi Strategis Pinggir Jalan Daerah Kemayoran,2850000000.0,Jakarta Pusat,Kemayoran,3.0,2.0,,186.0,165.0,2026-04-28T11:19:08.235646+00:00
2842,"Rumah 8X15 SHM 2.5 Lantai di Kosambi Baru, Duri Kosambi",1900000000.0,Jakarta Barat,Duri Kosambi,4.0,3.0,2.0,120.0,180.0,2026-04-28T04:35:15.207853+00:00
5120,"Rumah Gandeng 2 Jadi 1 Bagus Shm Luas T 180, Gading Elok Timur",3800000000.0,Jakarta Utara,Kelapa Gading,10.0,4.0,6.0,180.0,120.0,2026-04-28T06:50:57.811236+00:00
5909,Dijual Rumah di Lilin Raya,4000000000.0,Jakarta Utara,Kelapa Gading,14.0,5.0,1.0,160.0,280.0,2026-04-28T07:35:57.746257+00:00
7454,",Rumah Minimalis Bebas Banjir di Condet, Jakarta Timur",395000000.0,Jakarta Timur,Condet,2.0,1.0,1.0,20.0,40.0,2026-04-28T09:05:54.934179+00:00
563,"Kemang - Rumah Lama Siap Bongkar, Nilai di Tanahnya!",11500000000.0,Jakarta Selatan,Kemang,6.0,4.0,2.0,640.0,318.0,2026-04-28T02:19:26.894818+00:00
1463,Rumah Strategis di Cendrawasih Bintaro Sektor 1Jakarta Selaran,5200000000.0,Jakarta Selatan,Bintaro,7.0,5.0,,304.0,225.0,2026-04-28T03:12:02.785922+00:00
5560,Rumah Baru Lux Modern Eropa di Imperial Gading,5800000000.0,Jakarta Utara,Kelapa Gading,5.0,4.0,2.0,217.0,270.0,2026-04-28T07:17:15.361055+00:00
8831,Dijual Rumah Cempaka Putih Dibawah NJOP,8500000000.0,Jakarta Pusat,Cempaka Putih,6.0,4.0,4.0,450.0,310.0,2026-04-28T10:34:17.479620+00:00
3411,Rumah 3 Lantai Di City Resort Taman Palem Cengkareng Jakarta Barat,3050000000.0,Jakarta Barat,Taman Palem,5.0,5.0,3.0,108.0,260.0,2026-04-28T05:08:47.130323+00:00
3095,Rumah Taman Semanan Indah Posisi Strategis Jual Murah,1600000000.0,Jakarta Barat,Cengkareng,4.0,4.0,2.0,96.0,106.0,2026-04-28T04:50:00.451143+00:00
3295,Rumah Baru Minimalis Modern Kavling Polri Jelambar Jakarta Barat,3100000000.0,Jakarta Barat,Jelambar,4.0,5.0,1.0,60.0,219.0,2026-04-28T05:02:14.327564+00:00
44,"""Jual Cepat Harga Bersahabat"" untuk Rumah Lux ~ Sektor Favorit di ""Pondok Indah""",32000000000.0,Jakarta Selatan,Pondok Indah,5.0,6.0,8.0,634.0,720.0,2026-04-28T01:51:20.578050+00:00
4244,Jual Butuh Uang Rumah Cluster Kelapa Gading LT 9X20,4800000000.0,Jakarta Utara,Kelapa Gading,5.0,4.0,,180.0,270.0,2026-04-28T05:57:34.180634+00:00
1790,"RUMAH BRAND NEW di Jl ALAM ASRI, PONDOK INDAH",18000000000.0,Jakarta Selatan,Pondok Indah,6.0,5.0,,300.0,425.0,2026-04-28T03:35:52.222626+00:00
1781,Dijual Rumah Modern Mewah Di Bintaro Jaya Sektor 2,4950000000.0,Jakarta Selatan,Sektor 2 - Bintaro,6.0,5.0,,270.0,400.0,2026-04-28T03:35:19.444709+00:00
8671,Rumah 2 Lantai Dalam Gang Harga Terjangkau di Johar Baru Jakarta,350000000.0,Jakarta Pusat,Johar Baru,2.0,1.0,,20.0,40.0,2026-04-28T10:25:44.750191+00:00
9549,Rumah Luas di Pusat Kota Akses Jalan 2 Mobil,5500000000.0,Jakarta Pusat,Johar Baru,5.0,3.0,1.0,306.0,208.0,2026-04-28T11:13:55.200246+00:00
7335,Rumah Nyaman Murah Cijantung Jakarta Timur,825000000.0,Jakarta Timur,Pasar Rebo,3.0,2.0,,67.0,60.0,2026-04-28T08:58:31.033170+00:00
8601,Dijual Rumah Baru Minimalis di Cempaka Putih,2500000000.0,Jakarta Pusat,Cempaka Putih,4.0,3.0,1.0,124.0,240.0,2026-04-28T10:22:09.376304+00:00
16,Rumah Siap Huni Kebayoran Baru Dekat Scbd,22500000000.0,Jakarta Selatan,Kebayoran Baru,5.0,4.0,3.0,366.0,500.0,2026-04-28T01:49:55.920335+00:00
3029,Rumah Brandnew dan Lokasi Bagus Taman Villa Meruya Area Jakarta Barat,2750000000.0,Jakarta Barat,Meruya,4.0,5.0,,125.0,168.0,2026-04-28T04:46:06.269233+00:00
4838,Rumah Dijual Cepat Komplek Pademangan 5.5X14,2600000000.0,Jakarta Utara,Pademangan,4.0,3.0,1.0,77.0,180.0,2026-04-28T06:35:05.898446+00:00
5906,Rumah baru murah 2 lantai kelapa gading,3500000000.0,Jakarta Utara,Kelapa Gading,4.0,3.0,2.0,120.0,150.0,2026-04-28T07:35:47.790618+00:00
1595,"Dijual Rumah TERMURAAAH di Bintaro Utara,Jakarta Selatan",6600000000.0,Jakarta Selatan,Bintaro,8.0,3.0,2.0,378.0,350.0,2026-04-28T03:23:05.003447+00:00
3015,Dijual Rumah Daerah Meruya,3700000000.0,Jakarta Barat,Meruya,5.0,4.0,,128.0,384.0,2026-04-28T04:45:20.700094+00:00
2787,Rumah Semi Furnished Dijual Green Ville Hadap Selatan SHM 150M2,2800000000.0,Jakarta Barat,Green Ville,5.0,3.0,2.0,150.0,120.0,2026-04-28T04:32:11.121188+00:00
2766,Rumah Siap Huni Hook Dekat Pasar Kopro Tanjung Duren Jakbar,2300000000.0,Jakarta Barat,Tanjung Duren Utara,4.0,3.0,,72.0,100.0,2026-04-28T04:31:00.458837+00:00
8133,"Lokasi Ring 1 Menteng, Gol C, Lokasi Rindang, Ada Kolam Renang",85000000000.0,Jakarta Pusat,Menteng,6.0,6.0,4.0,675.0,500.0,2026-04-28T09:56:56.536035+00:00
4660,Rumah Mewah di Pantai Indah Kapuk. Siap Huni Full Furnish,50000000000.0,Jakarta Utara,Pantai Indah Kapuk,4.0,4.0,6.0,660.0,1850.0,2026-04-28T06:21:35.061062+00:00
3237,Rumah 2 Lantai Di Taman Palem Lestari Jkt Barat,2900000000.0,Jakarta Barat,Taman Palem,3.0,2.0,1.0,120.0,120.0,2026-04-28T04:58:54.830849+00:00
7297,Dijual Rumah di Jakarta Harga Murah,1100000000.0,Jakarta Timur,Ciracas,4.0,2.0,,61.0,80.0,2026-04-28T08:56:01.718127+00:00
9495,"Dijual Kos & Kios Strategis Kemayoran Jakarta Pusat - 13 Kamar + 7 Kios, Cocok Investasi Passive Income",4900000000.0,Jakarta Pusat,Kemayoran,13.0,5.0,2.0,162.0,360.0,2026-04-28T11:10:54.565931+00:00
9337,Rumah Mewah Strategis Dekat Akses KRL di Menteng Jakpus Lr-7405,55000000000.0,Jakarta Pusat,Menteng,4.0,3.0,5.0,575.0,318.0,2026-04-28T11:02:20.019635+00:00
5716,Dijual Cepat‼️ Rumah Pik2 Cluster Riverside Hoek SHM,3000000000.0,Jakarta Utara,Pantai Indah Kapuk 2,3.0,2.0,2.0,90.0,120.0,2026-04-28T07:25:39.726783+00:00
3022,Mtp Taman Palem 6X16m Utara 2.5 Lantai Bagus Terawat Banget,2500000000.0,Jakarta Barat,Taman Palem,3.0,3.0,2.0,96.0,150.0,2026-04-28T04:45:41.669841+00:00
